id;NOME_FAZEN;distancia_rede_m;node_rede
0;CACHOEIRINHA;0.34;31921
1;SANTA JULIANA;0.38;31923
2;BOM SUCESSO;0.27;31930
3;BELA CASCATA;59.92;21618
4;MARILIA;0.07;31929
5;MARIMBONDO II;0.1;31928
6;SANTA FELICIDADE;0.13;31924
7;RETIRO DA ALIANCA;174.61;32012
8;SANTA FELICIDADE GOIASA;0.21;31927
9;AROEIRA;0.82;31920
10;Grãos Talhão:59;0.02;31980
11;Grãos Talhão:58;0.0;31993
12;Grãos Talhão:51;0.0;32005
13;Grãos Talhão:53;0.08;32007
14;Grãos Talhão:52;0.03;31987
15;Grãos Talhão:55;13.74;32009
16;Grãos Talhão:54;4.6;32006
17;Grãos Talhão:57;0.07;31994
18;Grãos Talhão:56;0.37;32008
19;Grãos Talhão:60;0.13;31982
20;Grãos Talhão:69;0.07;31991
21;Grãos Talhão:62;0.12;31984
22;Grãos Talhão:61;0.03;31981
23;Grãos Talhão:63;0.07;31983
24;Grãos Talhão:65;0.0;32013
25;Grãos Talhão:68;0.17;31988
26;Grãos Talhão:67;0.01;31989
27;Grãos Talhão:71;0.15;31937
28;Grãos Talhão:70;0.17;31992
29;Grãos Talhão:113;0.37;31932
30;Grãos Talhão:73;0.0;32024
31;Grãos Talhão:72;0.12;32025
32;Grãos Talhão:75;0.08;32026
33;Grãos Talhão:74;0.14;32027
34;Grãos Talhão:77;0.2;32028
35;Grãos Talhão:76;0.36;32030
36;Grãos Talhão:78;0.15;32033
37;Grãos Talhão:82;0.03;31960
38;Grãos Talhão:81;0.17;31962
39;Grãos Talhão:84;0.49;31965
40;CÓRREGO DO JACARÉ;0.07;32014
41;Grãos Talhão:85;0.08;31970
42;Grãos Talhão:88;6.94;32015
43;Grãos Talhão:87;0.15;31933
44;Grãos Talhão:112G;0.0;32018
45;Grãos Talhão:81A;0.17;32021
46;Grãos Talhão:111G;0.03;32017
47;Grãos Talhão:22 23;0.14;31972
48;Grãos Talhão:2;0.27;31946
49;Grãos Talhão:1;0.05;31976
50;Grãos Talhão:14 15 16;0.04;31959
51;Grãos Talhão:4;0.05;31951
52;Grãos Talhão:3;0.29;31939
53;Grãos Talhão:6;0.07;31995
54;Grãos Talhão:5;0.12;31985
55;Grãos Talhão:8;0.05;32031
56;Grãos Talhão:7;0.17;31990
57;Grãos Talhão:9;0.03;31967
58;Grãos Talhão:17;0.05;31958
59;Grãos Talhão:19;0.26;31942
60;Grãos Talhão:18;0.3;31944
61;Grãos Talhão:11;0.3;31977
62;Grãos Talhão:10;0.23;31978
63;Grãos Talhão:13;0.05;31979
64;Grãos Talhão:12;0.06;31957
65;Grãos Talhão:26;0.04;31954
66;Grãos Talhão:25;0.11;31974
67;Grãos Talhão:28;0.28;31938
68;Grãos Talhão:27;0.1;31953
69;Grãos Talhão:29;0.14;31955
70;Grãos Talhão:20;0.05;31945
71;Grãos Talhão:21;9.87;31973
72;Grãos Talhão:24;0.06;31975
73;Grãos Talhão:40A;0.09;32010
74;Grãos Talhão:37;0.04;31950
75;Grãos Talhão:36;0.03;32004
76;Grãos Talhão:39;0.09;31952
77;Grãos Talhão:38;0.03;31949
78;Grãos Talhão:31;0.24;31941
79;Grãos Talhão:30;0.1;31936
80;Grãos Talhão:33;0.16;32003
81;Grãos Talhão:113 A;0.37;32023
82;Grãos Talhão:32;0.03;31940
83;Grãos Talhão:35;0.45;31948
84;Grãos Talhão:34;0.04;32002
85;Grãos Talhão:110G;0.13;32016
86;Grãos Talhão:48;0.14;31986
87;Grãos Talhão:47;0.04;32000
88;Grãos Talhão:40;85.35;32011
89;Grãos Talhão:42;0.05;31996
90;Grãos Talhão:44;0.08;31998
91;Grãos Talhão:43;0.07;32012
92;Grãos Talhão:46;0.02;32001
93;Grãos Talhão:45;0.03;31997
